model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,balanced_accuracy_mean,balanced_accuracy_std,feature_set
LogisticRegression,0.6986666666666665,0.1329928987243722,0.6633333333333333,0.14749277753689505,0.7155555555555556,0.1340904430359608,baseline
RandomForest,0.7366666666666667,0.1390843069668338,0.6987936507936509,0.15304174186915867,0.7544444444444443,0.13475629580564785,baseline
GradientBoosting,0.7113333333333334,0.15342171365951504,0.6907619047619048,0.1591225910805549,0.7388888888888888,0.14240006242195885,baseline
LogisticRegression,0.6933333333333332,0.1478738200854589,0.6613968253968254,0.16058768362493803,0.7155555555555556,0.14767331311854356,enriched
RandomForest,0.714,0.13905874058588816,0.6833650793650794,0.1484585244588701,0.7433333333333333,0.12856760723304153,enriched
GradientBoosting,0.7086666666666666,0.14603043822740824,0.6863174603174603,0.15489815410658914,0.7344444444444445,0.13801502870393556,enriched
