classifier,train_size,feature_set,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std
RandomForest,6,baseline,0.5090909090909091,0.09917011013305194,0.510816261068239,0.09050681256842907
RandomForest,6,enriched,0.5272727272727273,0.11712817024295569,0.5350794337807545,0.10927483204786169
RandomForest,10,baseline,0.6333333333333335,0.12222222222222223,0.6246587595220207,0.10568090480325885
RandomForest,10,enriched,0.6203703703703705,0.1307491341341026,0.6168931221666,0.12044001055589318
RandomForest,14,baseline,0.6857142857142858,0.0876759649501046,0.6671098581882897,0.09240379921446275
RandomForest,14,enriched,0.6857142857142857,0.08370664681546165,0.6716964299317242,0.08418808925298897
RandomForest,18,baseline,0.7000000000000001,0.10327955589886445,0.6692696809363475,0.11062078225781678
RandomForest,18,enriched,0.69,0.12476644848141935,0.6566682700016033,0.13398278887622395
RandomForest,22,baseline,0.6944444444444445,0.16712898840545917,0.6585185185185184,0.18338233538916623
RandomForest,22,enriched,0.6888888888888889,0.15947444549341475,0.648888888888889,0.1757663994069795
LogisticRegression,6,baseline,0.5166666666666668,0.12280207223001291,0.5140877571192329,0.1266514299320202
LogisticRegression,6,enriched,0.5530303030303031,0.12644935687094738,0.557930190525089,0.1301662173712536
LogisticRegression,10,baseline,0.6370370370370372,0.12064072203631356,0.6321664338795402,0.1156382919093326
LogisticRegression,10,enriched,0.6296296296296298,0.12936480886350354,0.6206564887163442,0.12732896079259176
LogisticRegression,14,baseline,0.6976190476190478,0.09703658986816585,0.6878416264200578,0.10882496228039888
LogisticRegression,14,enriched,0.704761904761905,0.08397710518356379,0.6974977963213257,0.08669500238707452
LogisticRegression,18,baseline,0.7133333333333334,0.10561986345169909,0.6922871572871573,0.11311333726703952
LogisticRegression,18,enriched,0.68,0.13999999999999999,0.6547157780491114,0.15249407701589401
LogisticRegression,22,baseline,0.6944444444444443,0.18299632324445117,0.6738095238095239,0.1902727087727079
LogisticRegression,22,enriched,0.6666666666666665,0.2018433569398328,0.6324338624338625,0.2166526860746479
